YACIMIENTO_SEN,YAC_SEN,FORMACION,NOMBRE_CORTO,NOM_DE_ESTADO_TOW,NOMBRE_DE_ESTADO_TOW,Petroleo_Diario_m3,Petroleo_Mensual_m3,Petroleo_Acumulado_m3,Gas_Diario_m3,Gas_Mensual_m3,Gas_Acumulado_m3,Agua_diaria_m3,Agua_Mensual__m3,Agua_Acumulada__m3,TEF_de_Produccion_dias,TEF_de_Produccion_Acum,GOR
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2054,Abandono_Permanente,AP,NA,NA,31261.054,NA,NA,2875837,NA,NA,38017.957,NA,147.86,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2055,Abandono_Permanente,AP,NA,NA,7058,NA,NA,3598,NA,NA,4655,NA,17.8,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2056,Abandono_Permanente,AP,NA,NA,2519,NA,NA,NA,NA,NA,4082,NA,18.8,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_206,Abandono_Permanente,AP,NA,NA,34204,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2060,Reserva_Recuperacion_Secundaria,RRS,NA,NA,15350.231,NA,NA,6912161,NA,NA,18554.559,NA,138,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2064,Abandono_Permanente,AP,NA,NA,37405.865,NA,NA,4169723,NA,NA,37831.451,NA,167.55,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2065,Reserva_Recuperacion_Secundaria,RRS,NA,NA,22939.682,NA,NA,3157186,NA,NA,31618.351,NA,150.68,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_207,Abandono_Permanente,AP,NA,NA,15769,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2070,Abandono_Permanente,AP,NA,NA,10427,NA,NA,6070290,NA,NA,6185,NA,1.5,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2071,A_Abandonar,AA,NA,NA,5018,NA,NA,6392421,NA,NA,305,NA,15.6,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2073,Abandono_Permanente,AP,NA,NA,345,NA,NA,111816,NA,NA,1863,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2074,Abandono_Permanente,AP,NA,NA,2897,NA,NA,1652051,NA,NA,99294,NA,6.2,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2075,Abandono_Permanente,AP,NA,NA,12206,NA,NA,2584475,NA,NA,4300,NA,119.3,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2076,Abandono_Permanente,AP,NA,NA,15894.028,NA,NA,3069617,NA,NA,136615.811,NA,95.23,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2078,Abandono_Permanente,AP,NA,NA,4192.805,NA,NA,2472126,NA,NA,5087.155,NA,67.07,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_208,Abandono_Permanente,AP,NA,NA,24911,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2080,A_Abandonar,AA,NA,NA,32993.475,NA,NA,2643539,NA,NA,339249.805,NA,334.83,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2081,Abandono_Permanente,AP,NA,NA,10812,NA,NA,15053172,NA,NA,4730,NA,38.9,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2082,Abandono_Permanente,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2083,Abandono_Permanente,AP,NA,NA,8465,NA,NA,7719691,NA,NA,24986,NA,12.2,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2084,A_Abandonar,AA,NA,NA,9154,NA,NA,6105765,NA,NA,11568,NA,29.9,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2087,Abandono_Permanente,AP,NA,NA,13,NA,NA,NA,NA,NA,411,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2088,Abandono_Permanente,AP,NA,NA,4320,NA,NA,NA,NA,NA,16423,NA,7.7,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2089,Abandono_Permanente,AP,NA,NA,7909,NA,NA,23822,NA,NA,8191,NA,5.5,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_209,Abandono_Permanente,AP,NA,NA,8418,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2090,Abandono_Permanente,AP,NA,NA,927,NA,NA,NA,NA,NA,561,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2097,Abandono_Permanente,AP,NA,NA,3273.448,NA,NA,NA,NA,NA,1189.218,NA,32.42,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2099,Abandono_Permanente,AP,NA,NA,642,NA,NA,NA,NA,NA,135,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_21,Abandono_Permanente,AP,NA,NA,7256,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2100,Reserva_Recuperacion_Secundaria,RRS,NA,NA,4736,NA,NA,NA,NA,NA,2841,NA,25.2,NA
